experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,gold_auroc_std,gold_ap_mean,gold_ap_std,gold_logloss_mean,gold_logloss_std,gold_brier_mean,gold_brier_std,gold_ece_mean,gold_ece_std,gold_f1_mean,gold_f1_std,gold_accuracy_mean,gold_accuracy_std,gold_pred_mean_mean,gold_pred_mean_std,gold_true_mean_mean,gold_true_mean_std,n_eval_rows_mean,n_eval_rows_std,n_positive_mean,n_positive_std,precision_at_5_mean,precision_at_5_std,recall_at_5_mean,recall_at_5_std,ndcg_at_5_mean,ndcg_at_5_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_20_mean,recall_at_20_std,ndcg_at_20_mean,ndcg_at_20_std,n_metric_rows,n_predictions,n_episodes_diagnosed,collapse_rate,pred_mean_mean,pred_std_mean,frac_near_zero_mean,frac_near_one_mean,inner_lr,meta_batch_size,was_skipped,error,synthetic_proportion,augmentation_method,target_per_class,k_neighbors,stale_reason,is_stale,is_diagnostic,diagnostic_reason,is_current_clean,augmentation_method_requested,augmentation_method_actual,target_effective_k,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_pos,n_real_support_neg,n_synthetic_support_pos,n_synthetic_support_neg,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows,gen_fallback_used,gen_skip_reason
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc__tek-5,anil,A_weak_only,Packaging Material,1,1,3,success,0.3546697730866895,0.0607169437243822,0.7692510307928953,0.0517869156867532,1.319586191261576,0.3472295145828435,0.4367375266817227,0.105761448822521,0.4574572170987888,0.1260761166043984,0.4158569295452869,0.1798838447774771,0.3667408231368186,0.1035494426830632,0.387599975367069,0.1512502777580492,0.8062888806492812,0.0117052356335119,57.0,3.5496478698597698,46.0,3.5496478698597698,0.74,0.2835489375751565,0.0802311028320284,0.0300009969951856,0.7123957096240534,0.3276709963005455,0.7450000000000001,0.1243985530462472,0.1627873019569034,0.0299539749115006,0.7300464780665619,0.1996345601285654,0.7249999999999999,0.0403112887414927,0.3163401926827138,0.0214749083134528,0.7217138574442765,0.1001851217757034,20.0,1140.0,20.0,0.0,0.3876000210642815,0.2154071286320686,0.0971223169777118,0.0,0.01,4.0,False,,0.5,smote_nc,5.0,5.0,,,,,,smote_nc,smote_nc,5.0,19.0,0.6,19.6,8.0,11.0,0.6,0.0,57.0,46.0,11.0,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material,anil,A_weak_only,Packaging Material,1,1,3,success,0.31731917363229756,0.08487372796616098,0.7443203450614083,0.05740486455043911,1.5100108054078674,0.3558164157832223,0.4871232079662282,0.09475561792276994,0.501063033533664,0.10950791233147394,0.36841068341497357,0.1724938741332188,0.3164596465208256,0.09033766735775724,0.3478167250201786,0.11245743718220245,0.8049746632060314,0.011269732973976498,56.6,3.4117444218463966,45.6,3.4117444218463966,0.62,0.27495454169735045,0.06858088114018493,0.031282976700543315,0.5732959092704015,0.32366678125568166,0.71,0.13747727084867523,0.1567686352126204,0.033500294855639504,0.654656752831723,0.21081812825374419,0.7125,0.05889609494694874,0.3132622173065168,0.025880701746859094,0.6759701695263637,0.11225336733662125,20.0,1132.0,20.0,0.0,0.3478167340159416,0.23559952303767204,0.13282350760103817,0.0,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,19.4,0.0,19.4,8.4,11.0,0.0,0.0,56.6,45.6,11.0,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,1,1,5,success,0.4632575757575757,0.1067590638040437,0.753535643792469,0.0513409665901449,1.0344438140626075,0.3003911057634784,0.3850064431674576,0.115098326170693,0.408345703764216,0.1584205935622648,0.3379310344827586,0.3093870823242566,0.41,0.1332141912907392,0.4340678720252917,0.2503705786444379,0.6552941176470588,0.08591860636914,17.2,1.469693845669907,11.2,1.1661903789690602,0.76,0.1959591794226542,0.3419191919191919,0.0915187191312986,0.8289335930281506,0.1477328716641638,0.6,0.0,0.5424242424242424,0.0645675022807954,0.6976887568359923,0.035058189062887,0.6552941176470588,0.08591860636914,1.0,0.0,0.9145721511899094,0.026334932110206,5.0,86.0,5.0,0.0,0.4340678691864014,0.0770707838237285,0.0,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True,,,,,,,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,1,1,5,success,0.4810132575757576,0.1031137129934078,0.735848456745366,0.0730625746626769,0.9418995047995712,0.2575638426978157,0.349359006261369,0.0997971781004927,0.3554268586534418,0.139670575488127,0.4327918025179688,0.3043977420111591,0.4373800734868847,0.1181895763765232,0.5129311761946307,0.2416021034896049,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.71,0.2142428528562855,0.3489267676767676,0.1122291339221606,0.783404405973406,0.1703843991953353,0.5899999999999999,0.0435889894354067,0.5837121212121212,0.0823016370324342,0.6956756601624308,0.0470533627079171,0.6308672132820738,0.0868460268755322,1.0,0.0,0.90230504828854,0.0414846295791083,20.0,328.0,20.0,0.0,0.5129311740398407,0.0791549369692802,0.0,0.00625,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,5.6,0.0,5.6,2.7,2.9,0.0,0.0,16.4,10.3,6.1,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,1,1,5,success,0.4715277777777776,0.103896326673696,0.721349313822312,0.0768412206309238,0.8145994591236413,0.2079539858321577,0.2993568626196537,0.0830189642308332,0.2872580376911067,0.1243453312549822,0.5298152692473179,0.2948996114704104,0.5072969187675069,0.1239070533439386,0.5365850530728498,0.1877731610041631,0.6333414134884723,0.0642471070651101,15.45,2.3553131426627756,9.75,1.6085707942145413,0.64,0.1959591794226542,0.3332070707070707,0.1051828305332958,0.7228359599112038,0.1576789342263028,0.5999999999999999,0.0547722557505166,0.6276515151515151,0.0883160815317155,0.7033846470420826,0.0502181852711654,0.6333414134884723,0.0642471070651101,1.0,0.0,0.8916741901454669,0.0444823961822475,20.0,309.0,20.0,0.0,0.5365850575268268,0.0897369096055626,0.0,0.00625,0.01,4.0,False,,0.5,smote_nc,,5.0,,,,,,smote_nc,smote_nc,,6.55,6.55,13.1,3.25,3.3,3.25,3.3,15.45,9.75,5.7,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.5__gen-smote_nc__tek-5,anil,A_weak_only,Logistics,1,1,5,success,0.4730271464646464,0.1091797673835284,0.7291819094674077,0.0653740618690278,0.6939019240702547,0.0490743386787203,0.2513679161177478,0.0229884566352531,0.2138988405271467,0.1031249590996742,0.6220891533646953,0.1485013192755797,0.5182190889176183,0.0998381585212643,0.5706334583833399,0.0743369275511819,0.6333414134884723,0.0642471070651101,15.45,2.3553131426627756,9.75,1.6085707942145413,0.64,0.1959591794226542,0.3332070707070707,0.1051828305332958,0.7299384909937172,0.1554124001752388,0.6049999999999999,0.0497493718553309,0.6318181818181817,0.0798209514947088,0.7119677813944321,0.0411739713986789,0.6333414134884723,0.0642471070651101,1.0,0.0,0.8969791766362597,0.0387295399919658,20.0,309.0,20.0,0.0,0.5706334680318832,0.1021069779992103,0.0,0.0,0.01,4.0,False,,0.5,smote_nc,5.0,5.0,,,,,,smote_nc,smote_nc,5.0,6.55,3.45,10.0,3.25,3.3,1.75,1.7,15.45,9.75,5.7,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Logistics,anil,A_weak_only,Logistics,1,1,5,success,0.48101325757575764,0.10311371299340784,0.735848456745366,0.07306257466267697,0.9418995047995711,0.25756384269781574,0.34935900626136906,0.09979717810049278,0.3554268586534418,0.13967057548812709,0.4327918025179688,0.3043977420111591,0.4373800734868847,0.11818957637652323,0.5129311761946307,0.24160210348960495,0.6308672132820738,0.08684602687553226,16.4,1.8814887722226776,10.3,1.5524174696260027,0.71,0.21424285285628553,0.3489267676767676,0.11222913392216066,0.783404405973406,0.17038439919533535,0.5899999999999999,0.043588989435406726,0.5837121212121212,0.08230163703243422,0.6956756601624308,0.04705336270791718,0.6308672132820738,0.08684602687553226,1.0,0.0,0.9023050482885399,0.04148462957910836,20.0,328.0,20.0,0.0,0.5129311740398407,0.07915493696928025,0.0,0.00625,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,5.6,0.0,5.6,2.7,2.9,0.0,0.0,16.4,10.3,6.1,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,5,success,0.2776597949692224,0.0437041518908273,0.7166673570668298,0.0361184601806433,1.5360682488163124,0.1676987090335298,0.4990035205370138,0.0428860185004475,0.5124792630523576,0.052630809194273,0.380837830930628,0.105534075124446,0.309656820335352,0.0544303629575416,0.3499821524214462,0.0742887561027105,0.8043628723272771,0.0106101836208647,56.4,3.2,45.4,3.2,0.48,0.16,0.0535630778783557,0.0199179154543813,0.4203324375489973,0.2243297427275593,0.64,0.08,0.1420845824722764,0.0234560293337724,0.5552639996686094,0.148175624912501,0.7,0.0447213595499957,0.3086998282737142,0.0117309268027821,0.6278839017323521,0.075141256207067,5.0,282.0,5.0,0.0,0.349982139468193,0.2579834640026092,0.1309809253079553,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True,,,,,,,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,1,1,5,success,0.3170683756386815,0.0835047582365437,0.7439406223171463,0.0566044856159318,1.5124648728044208,0.3567354817716255,0.4875777491737038,0.0948304830562862,0.5026574620939289,0.1117794748466583,0.3650903446699453,0.1696046284316971,0.3129475136983479,0.0876104967104358,0.3474439473869216,0.1125319335947315,0.8049746632060314,0.0112697329739764,56.6,3.4117444218463966,45.6,3.4117444218463966,0.62,0.2749545416973504,0.0685808811401849,0.0312829767005433,0.5732959092704015,0.3236667812556816,0.71,0.1374772708486752,0.1567686352126204,0.0335002948556395,0.654656752831723,0.2108181282537441,0.7125,0.0588960949469487,0.3132622173065168,0.025880701746859,0.6756382559402648,0.1118033303709253,20.0,1132.0,20.0,0.0,0.3474439479410648,0.2357047483325004,0.1328235076010381,0.0,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,19.4,0.0,19.4,8.4,11.0,0.0,0.0,56.6,45.6,11.0,0.0,False,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,5,success,0.3586016611673683,0.061253756364184,0.7712765916925352,0.0530362806230175,1.6019976750227776,0.6053426767216893,0.492575523644537,0.1445395872650261,0.516570754163709,0.158167688137281,0.3390992628275721,0.2380539823318507,0.3331510320108762,0.1236469854026831,0.3229040626525359,0.1774372487648768,0.8062888806492812,0.0117052356335119,57.0,3.5496478698597698,46.0,3.5496478698597698,0.74,0.2835489375751565,0.0802311028320284,0.0300009969951856,0.7123957096240534,0.3276709963005455,0.77,0.1417744687875783,0.1676892627412171,0.0301868246229787,0.7460833468790715,0.2121359698649455,0.73,0.04,0.3186657740780626,0.023512315591849,0.7261034394266063,0.0977080831587703,20.0,1140.0,20.0,0.0,0.3229040630161762,0.1891674395650625,0.1808233428088823,0.0,0.01,4.0,False,,0.5,smote_nc,,5.0,,,,,,smote_nc,smote_nc,,19.0,19.0,38.0,8.0,11.0,8.0,11.0,57.0,46.0,11.0,0.0,False,
