experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,synthetic_proportion,augmentation_method,is_stale,stale_reason,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0__gen-none,anil,C_hybrid,Logistics,2,2,5,success,0.6026515151515152,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,C_hybrid,Logistics,2,2,5,success,0.6026515151515152,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,C_hybrid,Packaging Material,2,2,5,failed,,,,False,,False,,False
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,C_hybrid,Packaging Material,2,2,5,success,,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,C_hybrid,Packaging Material,2,2,5,success,,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-5__kneg-5__steps-3__target-Logistics,anil,C_hybrid,Logistics,5,5,3,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-anil__kpos-5__kneg-5__steps-5__target-Logistics,anil,C_hybrid,Logistics,5,5,5,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-anil__kpos-10__kneg-10__steps-3__target-Logistics,anil,C_hybrid,Logistics,10,10,3,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-anil__kpos-10__kneg-10__steps-5__target-Logistics,anil,C_hybrid,Logistics,10,10,5,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,random,Logistics,1,1,3,success,0.5,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0__gen-none,anil,random,Logistics,1,1,3,success,0.5,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,random,Logistics,1,1,3,success,0.5,0.5,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,random,Logistics,1,1,3,success,0.5,0.9,smote_nc,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,random,Packaging Material,1,1,3,success,0.463458110516934,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,random,Packaging Material,1,1,3,success,0.463458110516934,0.0,none,False,,False,,True
stage2__init-random__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,random,Packaging Material,1,1,3,success,0.4780748663101605,0.5,smote_nc,False,,False,,True
