supplier_number,Join_Year,article_count,negative_count,positive_count,neutral_count,avg_sentiment_score,avg_relevance_score,max_relevance_score,negative_ratio,has_high_relevance_negative_news
22684,2024,1,0,1,0,1.0,5.0,5.0,0.0,0
22684,2025,6,0,5,1,0.8333333333333334,3.9166666666666665,4.5,0.0,0
22684,2026,3,0,2,1,0.6666666666666666,3.8333333333333335,4.5,0.0,0
23979,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
23979,2025,1,0,1,0,1.0,3.0,3.0,0.0,0
24563,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
24563,2019,1,0,1,0,1.0,3.0,3.0,0.0,0
24563,2024,1,0,1,0,1.0,4.0,4.0,0.0,0
24563,2025,4,1,3,0,0.5,3.125,3.5,0.25,0
24563,2026,7,0,4,3,0.5714285714285714,3.7142857142857144,5.0,0.0,0
25012,2020,1,0,1,0,1.0,3.5,3.5,0.0,0
25012,2024,5,0,3,2,0.6,3.5,4.0,0.0,0
25012,2025,4,0,3,1,0.75,4.375,5.0,0.0,0
25012,2026,4,0,4,0,1.0,4.05,4.5,0.0,0
25012,2027,10,0,8,2,0.8,4.1,5.0,0.0,0
25099,2026,7,0,2,5,0.2857142857142857,4.071428571428571,5.0,0.0,0
25099,2027,6,1,3,2,0.3333333333333333,4.5,5.0,0.16666666666666666,1
25762,2020,2,0,1,1,0.5,3.0,3.0,0.0,0
25762,2026,1,0,1,0,1.0,4.0,4.0,0.0,0
25802,2026,36,0,27,9,0.75,3.9749999999999996,5.0,0.0,0
25802,2027,55,7,25,23,0.32727272727272727,4.14,5.0,0.12727272727272726,1
25873,2016,5,0,5,0,1.0,3.1,3.5,0.0,0
25873,2017,3,0,3,0,1.0,3.0,3.0,0.0,0
25873,2018,5,0,3,2,0.6,3.2,4.0,0.0,0
25873,2021,1,0,1,0,1.0,4.0,4.0,0.0,0
25873,2022,1,0,1,0,1.0,4.0,4.0,0.0,0
25873,2025,1,1,0,0,-1.0,3.0,3.0,1.0,0
25873,2027,1,0,1,0,1.0,3.0,3.0,0.0,0
26507,2026,6,1,5,0,0.6666666666666666,4.216666666666667,5.0,0.16666666666666666,1
26507,2027,1,0,1,0,1.0,5.0,5.0,0.0,0
26651,2021,5,0,2,3,0.4,3.2,4.0,0.0,0
26651,2022,1,0,1,0,1.0,3.5,3.5,0.0,0
26651,2023,2,0,2,0,1.0,3.25,3.5,0.0,0
26651,2024,2,0,2,0,1.0,3.5,4.0,0.0,0
26651,2025,7,0,7,0,1.0,3.7857142857142856,4.0,0.0,0
26651,2026,8,0,8,0,1.0,4.625,5.0,0.0,0
26651,2027,1,0,1,0,1.0,4.0,4.0,0.0,0
