feature,importance
"cat__team_Quality, Production Services & Supplies",4.533401e-05
cat__contract_type_Facility Management & Engineering,4.3509415e-05
cat__fin_moodys_company_name_Catalent Germany Schorndorf GmbH,4.3224056e-05
cat__supplier_sector_Wholesale,4.2455373e-05
cat__payment_terms_L060 Current Month + 60 days,4.2331616e-05
cat__fin_moodys_company_name_Sonderborg Vaerktojsfabrik A/S,4.1208918e-05
cat__contract_commodity_Clothing and Personal Safety Unclassified,3.9101324e-05
num__fin_roa_net_income,3.8790167e-05
cat__incoterms_FCA Free carrier,3.839895e-05
num__missingindicator_Price_trends_52 weeks_%,3.789196e-05
cat__fin_moodys_company_name_Agilent Technologies Denmark ApS,3.769694e-05
cat__department_Raw Materials & Energy,3.765274e-05
cat__fin_Implied_rating - original_Aa3,3.7202517e-05
num__fin_flag_interest_coverage_weak,3.712558e-05
cat__fin_moodys_company_name_West Pharmaceutical Services Deutschland GmbH & Co. KG,3.4446446e-05
cat__contract_commodity_Waste Management,3.4137465e-05
cat__contract_commodity_Excipients,3.3110813e-05
cat__expiry_pressure_bucket_3_to_5y,3.2991225e-05
num__market_flag_high_market_cap_volatility,3.2937016e-05
cat__moodys_risk_rating_Go ahead,3.25271e-05
cat__contract_commodity_Road Transportation,3.1677802e-05
cat__fin_moodys_company_name_ICM A/S,3.0514915e-05
cat__company_country_clean_Sweden,3.033945e-05
cat__term_type_auto_renew,2.9749648e-05
cat__contract_type_Distribution,2.9361809e-05
num__missingindicator_fin_long_term_gearing,2.9346318e-05
cat__company_country_BRAZIL,2.891825e-05
cat__fin_Implied_rating - original_A2,2.8579812e-05
num__missingindicator_contract_value,2.742167e-05
cat__fin_moodys_company_name_SPS Medical,2.6912743e-05
cat__fin_moodys_company_name_Zirq Cables AS,2.6259584e-05
num__missingindicator_fin_Number_of_employees,2.6242666e-05
cat__nn_contract_type_Basic Terms Agreement,2.5520936e-05
cat__fin_Implied_rating - original_Ba2,2.5473597e-05
cat__fin_moodys_company_name_Linde Gas A/S,2.538636e-05
num__missingindicator_fin_interest_coverage_ratio,2.5136442e-05
"cat__department_Quality, Production Services & Supplies",2.4603958e-05
cat__contract_commodity_Cleaning Services (GxP)',2.4233213e-05
cat__supplier_sector_Utilities,2.419102e-05
cat__fin_moodys_company_name_Becton Dickinson Denmark A/S,2.3506744e-05
cat__payment_terms_F015 Invoice Date + 15 days,2.3138931e-05
"cat__contract_commodity_Glass (Syringes, Vials, Cartridges)",2.2818982e-05
cat__fin_moodys_company_name_Enestia Belgium,2.2708702e-05
cat__contract_commodity_Distributor Delivery,2.2639631e-05
cat__fin_moodys_company_name_Kalundborg Forsyning A/S,2.225065e-05
cat__fin_moodys_company_name_Synoptik A/S,2.1943066e-05
cat__department_from_cost_center_Bioprocessing & Raw Materials,2.0531666e-05
cat__fin_moodys_company_name_Merck Life Science A/S,1.9933479e-05
cat__contract_commodity_Personal Safety (PPE),1.9669047e-05
cat__contract_commodity_Other Critical Production Material,1.9205452e-05
cat__incoterms_DAT Del.at Terminal-incl.unloading,1.9076799e-05
cat__contract_commodity_Cleaning Equipment (GxP),1.9018815e-05
