,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
1110,Nicaragua,NIC,2.5,2.0,1.9,2.8,2.8,2.4,2.9,2023,
1111,Niger,NER,1.9718633862422297,1.66667,1.4,1.8,2.0,2.0,3.0,2007,
1112,Niger,NER,2.539425,2.0625,2.280357,2.6625,2.423214,2.45,3.280357,2010,
1113,Niger,NER,2.692196,2.666667,2.452525,2.907071,2.491414,2.491414,3.071596,2012,
1114,Niger,NER,2.393399,2.485543,2.079882,2.384615,2.276874,2.360207,2.758271,2014,
1115,Niger,NER,2.06995,1.7655,2.001111,2.001111,2.1,2.223333,2.334445,2018,
1116,Nigeria,NGA,2.396311732429884,2.22727,2.23404,2.48837,2.38095,2.35556,2.69048,2007,
1117,Nigeria,NGA,2.58757,2.172186,2.434684,2.842091,2.446816,2.446816,3.097513,2010,
1118,Nigeria,NGA,2.446722,1.967742,2.270559,2.596755,2.520195,2.347482,2.924405,2012,
1119,Nigeria,NGA,2.808778,2.348629,2.559328,2.627793,2.702476,3.156793,3.464486,2014,
1120,Nigeria,NGA,2.532085,1.966667,2.559722,2.522222,2.398611,2.684722,3.068333,2018,
1121,Nigeria,NGA,2.6,2.4,2.4,2.5,2.3,2.7,3.1,2023,
1122,North Macedonia,,,,,,,,,2007,72.7
1123,North Macedonia,,,,,,,,,2008,80.1
1124,North Macedonia,,,,,,,,,2009,74.3
1125,North Macedonia,,,,,,,,,2010,80.7
1126,North Macedonia,,,,,,,,,2011,90.7
1127,North Macedonia,,,,,,,,,2012,94.9
1128,North Macedonia,,,,,,,,,2013,95.3
1129,North Macedonia,,,,,,,,,2014,94.2
1130,North Macedonia,,,,,,,,,2015,90.5
1131,North Macedonia,,,,,,,,,2016,90.3
1132,North Macedonia,,,,,,,,,2017,91.0
1133,North Macedonia,,,,,,,,,2018,90.7
1134,North Macedonia,,,,,,,,,2019,91.5
1135,North Macedonia,,,,,,,,,2020,92.2
1136,North Macedonia,,,,,,,,,2021,100.0
1137,North Macedonia,,,,,,,,,2022,121.9
1138,North Macedonia,,3.1,3.1,3.0,2.8,3.2,3.2,3.5,2023,123.8
1139,North Macedonia,,3.1,3.1,3.0,2.8,3.2,3.2,3.5,2024,126.8
1140,North Macedonia,,3.1,3.1,3.0,2.8,3.2,3.2,3.5,2025,133.9
1141,Norway,NOR,3.8096719749821935,3.75758,3.82143,3.62069,3.77778,3.66667,4.24,2007,60.5
1142,Norway,,3.8096719749821935,3.75758,3.82143,3.62069,3.77778,3.66667,4.24,2008,69.7
1143,Norway,,3.8096719749821935,3.75758,3.82143,3.62069,3.77778,3.66667,4.24,2009,68.4
1144,Norway,NOR,3.932997,3.858586,4.222222,3.354798,3.854798,4.10101,4.354798,2010,74.2
1145,Norway,,3.932997,3.858586,4.222222,3.354798,3.854798,4.10101,4.354798,2011,80.2
1146,Norway,NOR,3.684443,3.461539,3.858418,3.494782,3.570652,3.670652,4.086168,2012,80.1
1147,Norway,,3.684443,3.461539,3.858418,3.494782,3.570652,3.670652,4.086168,2013,82.4
1148,Norway,NOR,3.958243,4.20779,4.191941,3.422711,4.191941,3.499634,4.358583,2014,82.7
1149,Norway,,3.958243,4.20779,4.191941,3.422711,4.191941,3.499634,4.358583,2015,78.9
1150,Norway,,3.958243,4.20779,4.191941,3.422711,4.191941,3.499634,4.358583,2016,78.7
