feature,importance
num__missingindicator_market_log_vol_shock_ratio,0.0
num__missingindicator_years_to_expiry_capped,0.0
cat__contract_status_published,0.0
num__market_flag_high_beta,0.0
cat__term_type_perpetual,0.0
cat__payment_terms_0001 Payable immediately Due net,0.0
num__market_flag_negative_52w_price_trend,0.0
num__market_flag_negative_price_trend,0.0
num__market_flag_negative_volume_trend,0.0
num__market_flag_high_market_cap_volatility,0.0
cat__payment_terms_L045 Current Month + 45 days,0.0
num__missingindicator_news_avg_sentiment_score,0.0
num__missingindicator_news_neutral_count,0.0
num__missingindicator_news_positive_count,0.0
num__missingindicator_fin_long_term_gearing,0.0
num__financial_data_available,0.0
num__esg_data_available,0.0
num__news_data_available,0.0
num__is_old_and_near_expiry,0.0
num__has_environmental_appendix,0.0
num__lpi_relative_risk,0.0
num__missingindicator_fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.0
num__missingindicator_fin_profit_margin,0.0
num__market_flag_negative_eps,0.0
num__missingindicator_fin_ebit_margin,0.0
num__missingindicator_fin_current_ratio,0.0
num__missingindicator_fin_gearing,0.0
num__missingindicator_fin_Cash_ratio,0.0
num__missingindicator_fin_Total_liabilities_Equity_ratio,0.0
num__missingindicator_esg_industry_max,0.0
num__missingindicator_fin_short_term_liabilities_equity_ratio,0.0
num__missingindicator_fin_solvency_ratio_asset_based,0.0
num__missingindicator_fin_debt_asset_ratio,0.0
num__missingindicator_fin_roa_net_income,0.0
num__missingindicator_fin_Net_assets_turnover,0.0
num__missingindicator_fin_financial_risk_score,0.0
num__missingindicator_esg_env_score,0.0
num__missingindicator_esg_env_weight,0.0
num__missingindicator_esg_social_score,0.0
num__missingindicator_esg_social_weight,0.0
num__missingindicator_esg_gov_score,0.0
num__missingindicator_esg_gov_weight,0.0
num__missingindicator_esg_industry_min,0.0
cat__payment_terms_L060 Current Month + 60 days,0.0
cat__payment_terms_N000 Net cash,0.0
num__market_flag_high_volume_shock,0.0
num__fin_ebit_margin_missing_flag,0.0
num__fin_flag_liquidity_stress,0.0
num__fin_flag_financial_risk_score_very_high,0.0
cat__contract_commodity_Packaging Lines,0.0
num__fin_flag_financial_risk_score_high,0.0
num__fin_flag_risk_do_not_source,0.0
cat__contract_commodity_Process Aids,0.0
cat__contract_commodity_SaaS (Software as a Service),0.0
cat__contract_commodity_Small Molecules (Raw Materials),0.0
cat__contract_commodity_Sterilization,0.0
cat__contract_commodity_Temporary Buildings Rental,0.0
cat__contract_commodity_Transport Consumables,0.0
cat__team_Aseptic Production,0.0
cat__team_Bioprocessing,0.0
cat__team_Negotiation & Capability Building,0.0
num__fin_flag_severe_liquidity_stress,0.0
cat__team_Oral Drug Product and Packaging,0.0
"cat__team_Quality, Production Services & Supplies",0.0
num__lpi_below_supplier_median,0.0
"cat__team_Strategy, Sourcing & Negotiation CoE",0.0
cat__company_country_CHINA,0.0
cat__company_country_DENMARK,0.0
cat__expiry_pressure_bucket_5y_plus,0.0
cat__department_from_cost_center_Devices & Needles,0.0
num__Tracking_Tracing,0.0
cat__department_from_cost_center_HI Warehouse Expansion Program,0.0
cat__department_Global Strategic Outsourcing & Devices,0.0
cat__department_HI Warehouse Expansion Program,0.0
num__news_has_high_relevance_negative_news,0.0
cat__contract_commodity_Metal,0.0
cat__contract_commodity_Human Resources Training,0.0
num__supplier_is_publicly_listed,0.0
cat__nn_contract_type_Order form,0.0
num__esg_below_industry_min,0.0
num__fin_flag_severe_financial_stress,0.0
cat__contract_currency_code_BRL,0.0
num__fin_flag_multiple_financial_stress_signals,0.0
num__fin_flag_negative_roa,0.0
num__fin_flag_negative_roe,0.0
num__fin_flag_negative_ebit_margin,0.0
num__fin_flag_very_low_solvency,0.0
"cat__contract_type_Finance, Legal & Procurement",0.0
cat__contract_type_IT,0.0
num__fin_flag_low_solvency,0.0
cat__contract_type_Research & Development,0.0
num__fin_flag_interest_coverage_weak,0.0
num__fin_flag_interest_coverage_stress,0.0
cat__contract_commodity_Gels,0.0
cat__nn_contract_type_Outsourcing Agreement,0.0
num__fin_flag_short_term_liab_equity_high,0.0
num__terminated,0.0
cat__nn_contract_type_Service Agreement,0.0
num__fin_flag_long_term_liab_equity_high,0.0
num__fin_flag_debt_asset_high,0.0
cat__contract_commodity_Assembly & Packaging,0.0
cat__contract_commodity_Biopharm Sidechains Unclassified,0.0
cat__contract_commodity_Bottles,0.0
num__fin_flag_long_term_gearing_high,0.0
cat__contract_commodity_FM Consulting,0.0
num__fin_flag_gearing_high,0.0
num__fin_flag_strong_liquidity,0.0
"cat__notes_Development-only injected positive label for Strategy, Sourcing & Negotiation CoE.",0.0
