department,total_rows,total_unique_contracts,real_gold_pos_contracts,real_gold_neg_contracts,real_gold_total_contracts,unlabeled_contracts,threshold_name,threshold_pos,threshold_neg,pseudo_pos_contracts,pseudo_neg_contracts,pseudo_total_contracts,combined_real_plus_pseudo_pos_contracts,combined_real_plus_pseudo_neg_contracts,combined_total_contracts,max_balanced_k,stage2_task_eligible_real_only,stage2_task_eligible_simulation,notes
Raw Materials & Energy,1555,281,0,0,0,281,0.95/0.05,0.95,0.05,7,1,8,7,1,8,1,No,Yes,
Raw Materials & Energy,1555,281,0,0,0,281,0.90/0.10,0.9,0.1,8,1,9,8,1,9,1,No,Yes,
Raw Materials & Energy,1555,281,0,0,0,281,0.85/0.15,0.85,0.15,17,5,22,17,5,22,5,No,Yes,
Raw Materials & Energy,1555,281,0,0,0,281,0.80/0.20,0.8,0.2,63,7,70,63,7,70,7,No,Yes,
Raw Materials & Energy,1555,281,0,0,0,281,0.75/0.25,0.75,0.25,75,33,108,75,33,108,33,No,Yes,
Raw Materials & Energy,1555,281,0,0,0,281,0.70/0.30,0.7,0.3,79,38,117,79,38,117,38,No,Yes,
Strategic Sourcing US Hub,15,9,0,0,0,9,0.95/0.05,0.95,0.05,0,0,0,0,0,0,0,No,No,
Strategic Sourcing US Hub,15,9,0,0,0,9,0.90/0.10,0.9,0.1,0,0,0,0,0,0,0,No,No,
Strategic Sourcing US Hub,15,9,0,0,0,9,0.85/0.15,0.85,0.15,0,0,0,0,0,0,0,No,No,
Strategic Sourcing US Hub,15,9,0,0,0,9,0.80/0.20,0.8,0.2,0,0,0,0,0,0,0,No,No,
Strategic Sourcing US Hub,15,9,0,0,0,9,0.75/0.25,0.75,0.25,0,0,0,0,0,0,0,No,No,
Strategic Sourcing US Hub,15,9,0,0,0,9,0.70/0.30,0.7,0.3,0,3,3,0,3,3,0,No,No,
"Strategy, Sourcing & Negotiation CoE",2,2,0,0,0,2,0.95/0.05,0.95,0.05,0,0,0,0,0,0,0,No,No,
"Strategy, Sourcing & Negotiation CoE",2,2,0,0,0,2,0.90/0.10,0.9,0.1,0,0,0,0,0,0,0,No,No,
"Strategy, Sourcing & Negotiation CoE",2,2,0,0,0,2,0.85/0.15,0.85,0.15,0,0,0,0,0,0,0,No,No,
"Strategy, Sourcing & Negotiation CoE",2,2,0,0,0,2,0.80/0.20,0.8,0.2,0,0,0,0,0,0,0,No,No,
"Strategy, Sourcing & Negotiation CoE",2,2,0,0,0,2,0.75/0.25,0.75,0.25,0,0,0,0,0,0,0,No,No,
"Strategy, Sourcing & Negotiation CoE",2,2,0,0,0,2,0.70/0.30,0.7,0.3,0,0,0,0,0,0,0,No,No,
